SampleID,Read_Depth
1077,85.36
1237,106.98
1143,101.61
1004,94.20
1256,93.03
1071,91.55
1040,95.29
1010,114.24
1107,96.74
1139,78.00
1017,100.41
1029,110.05
1109,101.97
1112,102.79
1046,108.32
1126,95.81
1261,103.96
1128,109.46
1051,100.07
1073,88.27
1116,100.45
1114,109.57
1144,77.16
1023,104.03
1169,82.16
1244,104.05
1157,70.00
1035,94.92
1155,71.84
1410,73.60
1113,103.50
1117,106.24
1024,106.64
1161,94.93
1147,79.03
1123,110.75
1001,95.60
1026,95.22
1230,91.48
1167,66.52
1093,57.07
1142,85.54
1153,69.59
1127,96.17
1088,69.99
1121,98.49
1217,117.57
1072,106.86
1007,98.60
1379,85.34
