SampleID,10x,15x,20x,40x,50x
78076,92.77,88.04,82.50,57.22,45.26
78082,93.59,89.19,83.97,59.57,47.64
78769,92.53,87.37,81.31,54.20,41.80
78096,91.85,86.28,79.86,52.23,39.96
78083,93.26,88.45,82.59,54.85,41.74
78069,93.52,89.20,84.02,59.70,47.94
78051,92.68,87.75,81.93,55.04,42.48
78086,93.06,88.22,82.39,55.11,42.35
78078,92.95,88.16,82.50,56.92,44.93
78057,92.65,87.70,81.90,55.80,43.70
78079,92.89,88.15,82.45,55.62,42.89
78064,93.46,89.28,84.31,60.12,47.99
78063,92.69,87.84,82.10,55.93,43.69
78060,92.65,87.41,81.10,52.04,38.83
78072,93.16,88.34,82.61,56.47,44.36
78061,92.49,87.26,81.16,53.61,41.12
78050,93.31,88.62,82.98,56.84,44.55
78043,93.59,89.24,84.00,58.65,46.24
78077,93.29,88.81,83.51,58.73,46.74
78075,93.05,88.33,82.65,55.73,42.98
78070,92.84,88.17,82.72,57.93,46.17
78056,93.96,89.74,84.62,59.30,46.69
78085,93.46,89.01,83.59,57.04,44.07
78080,93.46,88.79,83.12,56.40,43.79
78068,90.94,84.84,78.09,50.87,39.24
78095,95.98,93.66,90.97,76.95,68.97
78081,96.16,93.95,91.30,76.31,67.26
78073,92.77,87.64,81.49,53.30,40.47
78089,93.08,87.99,81.83,52.95,39.64
78046,93.57,89.31,84.15,58.75,46.23
78770,94.14,90.63,86.52,66.73,56.49
78065,91.72,86.01,79.25,49.45,36.49
78055,92.65,87.55,81.40,53.23,40.35
78066,96.70,95.01,93.10,83.36,77.64
78047,92.92,88.24,82.62,56.22,43.70
78768,92.77,87.62,81.46,53.07,40.14
78071,93.51,89.09,83.73,58.49,46.32
78087,92.48,87.23,81.13,54.20,42.05
78054,94.13,90.74,86.83,68.70,59.46
78084,93.28,88.66,83.13,56.87,44.24
78090,93.48,88.81,82.99,54.78,41.42
78053,92.69,87.54,81.45,53.83,41.23
78062,93.36,88.72,83.14,56.72,44.22
78049,92.91,88.14,82.49,56.62,44.49
78059,92.51,87.30,81.15,54.20,42.03
78058,97.00,95.36,93.48,83.30,77.06
78067,91.99,86.71,80.64,54.29,42.32
78074,96.53,94.53,92.21,80.06,72.96
