SampleID,Read_Depth
78076,52.87
78082,55.35
78769,49.82
78096,48.38
78083,49.75
78069,55.90
78051,50.25
78086,50.15
78078,52.80
78057,51.54
78079,50.50
78064,55.01
78063,51.49
78060,47.12
78072,52.69
78061,49.21
78050,52.36
78043,53.45
78077,54.40
78075,50.79
78070,54.08
78056,53.96
78085,51.34
78080,51.80
78068,48.02
78095,85.79
78081,78.01
78073,48.65
78089,47.70
78046,53.34
78770,65.82
78065,45.25
78055,48.63
78066,111.91
78047,51.08
78768,48.24
78071,53.95
78087,50.38
78054,72.12
78084,51.77
78090,49.13
78053,49.26
78062,51.91
78049,52.27
78059,50.25
78058,104.28
78067,50.55
78074,94.79
