SampleID,Read_Depth
78076_AAA,52.87
78082_AAA,55.35
78769_AAA,49.82
78096_AAA,48.38
78083_AAA,49.75
78069_AAA,55.90
78051_AAA,50.25
78086_AAA,50.15
78078_AAA,52.80
78057_AAA,51.54
78079_AAA,50.50
78064_AAA,55.01
78063_AAA,51.49
78060_AAA,47.12
78072_AAA,52.69
78061_AAA,49.21
78050_AAA,52.36
78043_AAA,53.45
78077_AAA,54.40
78075_AAA,50.79
78070_AAA,54.08
78056_AAA,53.96
78085_AAA,51.34
78080_AAA,51.80
78068_AAA,48.02
78095_AAA,85.79
78081_AAA,78.01
78073_AAA,48.65
78089_AAA,47.70
78046_AAA,53.34
78770_AAA,65.82
78065_AAA,45.25
78055_AAA,48.63
78066_AAA,111.91
78047_AAA,51.08
78768_AAA,48.24
78071_AAA,53.95
78087_AAA,50.38
78054_AAA,72.12
78084_AAA,51.77
78090_AAA,49.13
78053_AAA,49.26
78062_AAA,51.91
78049_AAA,52.27
78059_AAA,50.25
78058_AAA,104.28
78067_AAA,50.55
78074_AAA,94.79
